len,supp,dose,City
"4,2",VC,"0,5",Beyla
"11,5",VC,"0,5",Kindia
"7,3",VC,"0,5",Kankan
"5,8",VC,"0,5",Kankan
"6,4",VC,"0,5",Labe
10,VC,"0,5",Kankan
"11,2",VC,"0,5",Kindia
"11,2",VC,"0,5",Labe
"5,2",VC,"0,5",Labe
7,VC,"0,5",Beyla
"16,5",VC,1,Kankan
"16,5",VC,1,Beyla
"15,2",VC,1,Beyla
"17,3",VC,1,Labe
"22,5",VC,1,Kindia
"17,3",VC,1,Labe
"13,6",VC,1,Kankan
"14,5",VC,1,Labe
"18,8",VC,1,Kindia
"15,5",VC,1,Kindia
"23,6",VC,2,Kankan
"18,5",VC,2,Labe
"33,9",VC,2,Kankan
"25,5",VC,2,Labe
"26,4",VC,2,Beyla
"32,5",VC,2,Kankan
"26,7",VC,2,Labe
"21,5",VC,2,Beyla
"23,3",VC,2,Kindia
"29,5",VC,2,Kankan
"15,2",OJ,"0,5",Kankan
"21,5",OJ,"0,5",Kankan
"17,6",OJ,"0,5",Labe
"9,7",OJ,"0,5",Labe
"14,5",OJ,"0,5",Beyla
10,OJ,"0,5",Kankan
"8,2",OJ,"0,5",Kindia
"9,4",OJ,"0,5",Labe
"16,5",OJ,"0,5",Kankan
"9,7",OJ,"0,5",Labe
"19,7",OJ,1,Kankan
"23,3",OJ,1,Labe
"23,6",OJ,1,Kindia
"26,4",OJ,1,Beyla
20,OJ,1,Beyla
"25,2",OJ,1,Kankan
"25,8",OJ,1,Kindia
"21,2",OJ,1,Kankan
"14,5",OJ,1,Labe
"27,3",OJ,1,Kindia
"25,5",OJ,2,Kankan
"26,4",OJ,2,Kankan
"22,4",OJ,2,Labe
"24,5",OJ,2,Kankan
"24,8",OJ,2,Beyla
"30,9",OJ,2,Beyla
"26,4",OJ,2,Labe
"27,3",OJ,2,Beyla
"29,4",OJ,2,Kindia
23,OJ,2,Kankan
